contractAddress,tokenId,name,creator,owner,airdropAddress,_
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,26,Sketchpad #6/7,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,27,Sketchpad #7/7,saucebook,fatobgyn1,0xb401953a18b321f7f6aec1229909997518404ddb,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,25,Sketchpad #5/7,saucebook,douglasridgeway5158,0xadb1ece7e393132c4a8cfa86a291b039109c4142,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,24,Sketchpad #4/7,saucebook,artsdesign,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,23,Sketchpad #3/7,saucebook,nftimbus,0x1340fc92d9f817d41f76a5a90c188d8633c307d3,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,22,Sketchpad #2/7,saucebook,king_switch,0xb228a71d2b6f582d1da1c69de2b1bee83ba56966,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,21,Sketchpad #1/7,saucebook,sauceback,None,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,381,Cham Fam #17/96,saucebook,cl7,0xbe781bb5cd6a89e3affc6abe0f5b74a2377db92e,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,458,Cham Fam #94/96,saucebook,cl7,0xbe781bb5cd6a89e3affc6abe0f5b74a2377db92e,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,427,Cham Fam #63/96,saucebook,21be,0x22ed28a32d92b7ead66c4ffb6b3d79fdf186ce00,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,449,Cham Fam #85/96,saucebook,nftartgallery,0x0ae4fc3dbc0fcce25f099cc1cf5c646e4e9570f0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,419,Cham Fam #55/96,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,399,Cham Fam #35/96,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,380,Cham Fam #16/96,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,367,Cham Fam #3/96,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,447,Cham Fam #83/96,saucebook,matthewz9198,0xac94e265e2781ba5ee629309b3489cb3b12e0586,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,455,Cham Fam #91/96,saucebook,eternalyst,0x3ba2b77cfcb417a116a2f6f1806a9a04322410a0,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,385,Cham Fam #21/96,saucebook,enable-92,0x1c1a5ee90b9e50cbf11a60f5c80a80a4b98273fb,
0xf21edaaf15b1cbfaee1f678a4a49fe053a306a05,460,Cham Fam #96/96,saucebook,ds14,0xc61a99b8e58fe2ceb7adfa7c3adf586a71c502de,
